Address,Count,Last executed,API Name (if instruction begins it)
773fbc76,1,5151,
773fbc77,1,5152,
773fbc78,1,5153,
773fbc7d,1,5154,
773fbc83,1,5155,
773fbc88,1,6265,
773fbc8b,1,6266,
773fbc8c,1,6267,
773fbc91,1,6268,
773fbc92,1,6269,
773fbc98,1,6270,
773fbc99,1,6271,
773fbc9f,1,6272,
773fbca4,1,7411,
773fbcaa,1,7412,
773fbcac,1,7413,
773fbd0a,1,7414,
1.79769313486232E+308,1,7415,
1.79769313486232E+308,1,7416,
7739e57a,1,7417,
7739e57c,1,7418,
7739e57f,1,7419,
1.79769313486232E+308,1,7420,
1.79769313486232E+308,1,7421,
7739e58b,1,7422,
7739e58c,1,7423,
7739e58d,1,7424,
7739e58e,1,7425,
7739e58f,1,7426,
1.79769313486232E+308,1,7427,
1.79769313486232E+308,1,7428,
7739f320,1,7429,LdrGetDllHandleByName
7739f322,1,7430,
7739f327,1,7431,
7739f32c,1,7453,
7739f333,1,7454,
7739f337,1,7455,
7739f33a,1,7456,
7739f33b,1,7457,
7739f33e,1,7458,
7739f33f,1,7459,
7739f341,1,7460,
7739f344,1,7461,
7739f347,1,7462,
7739f34c,1,7904,
7739f34f,1,7905,
7739f351,1,7906,
7739f353,1,7907,
7739f357,1,7908,
7739f359,1,7909,
7739f35c,1,7910,
7739f35e,1,7911,
7739f363,1,7968,
7739f366,1,7969,
7739f368,1,7970,
7739f36a,1,7971,
7739f36d,1,7972,
7739f370,1,7973,
7739f372,1,7974,
7739f374,1,7975,
7739f379,1,7988,
7739f380,1,7989,
7739f383,1,7990,
7739f386,1,7991,
7739f38d,1,7992,
7739f38e,1,7993,
7739f38f,1,7994,
7739f390,1,7995,
7739f391,1,7996,
7739f392,1,7997,
7739e59b,1,7998,
7739e59f,1,7999,
7739e5a0,1,8000,
7739e5a2,1,8001,
7739e5a4,1,8002,
7739e5a8,1,8003,
7739e5ad,1,8137,
7739e5af,1,8138,
7739e5b1,1,8139,
7739e5b7,1,8140,
